time;prec;;;;;;;;;;;;
30/09/2001;null;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/03/2016;149,2;;;;;;;;;;;;
30/04/2016;163,2;;;;;;;;;;;;
31/05/2016;295,6;;;;;;;;;;;;
30/06/2016;37,4;;;;;;;;;;;;
31/07/2016;23;;;;;;;;;;;;
31/08/2016;149;;;;;;;;;;;;
30/09/2016;29;;;;;;;;;;;;
31/10/2016;112,8;;;;;;;;;;;;
30/11/2016;100,6;;;;;;;;;;;;
31/12/2016;362,4;;;;;;;;;;;;
31/01/2017;147,8;;;;;;;;;;;;
28/02/2017;194,4;;;;;;;;;;;;
31/03/2017;216,6;;;;;;;;;;;;
30/04/2017;211,6;;;;;;;;;;;;
31/05/2017;153,2;;;;;;;;;;;;
30/06/2017;113,6;;;;;;;;;;;;
31/07/2017;6;;;;;;;;;;;;
31/08/2017;74,8;;;;;;;;;;;;
30/09/2017;23,2;;;;;;;;;;;;
31/10/2017;136,6;;;;;;;;;;;;
30/11/2017;165,8;;;;;;;;;;;;
31/12/2017;253,8;;;;;;;;;;;;
31/01/2018;273,4;;;;;;;;;;;;
28/02/2018;232,6;;;;;;;;;;;;
31/03/2018;191;;;;;;;;;;;;
30/04/2018;47,6;;;;;;;;;;;;
31/05/2018;70,2;;;;;;;;;;;;
30/06/2018;null;;;;;;;;;;;;
31/07/2018;3,6;;;;;;;;;;;;
31/08/2018;39;;;;;;;;;;;;
30/09/2018;202,6;;;;;;;;;;;;
31/10/2018;258,6;;;;;;;;;;;;
30/11/2018;260,6;;;;;;;;;;;;
31/12/2018;91;;;;;;;;;;;;
31/01/2019;172,4;;;;;;;;;;;;
28/02/2019;246;;;;;;;;;;;;
31/03/2019;312,2;;;;;;;;;;;;
30/04/2019;140,8;;;;;;;;;;;;
31/05/2019;134,2;;;;;;;;;;;;
30/06/2019;71,6;;;;;;;;;;;;
31/07/2019;28,8;;;;;;;;;;;;
31/08/2019;11,8;;;;;;;;;;;;
30/09/2019;24,2;;;;;;;;;;;;
31/10/2019;59,8;;;;;;;;;;;;
30/11/2019;255,2;;;;;;;;;;;;
31/12/2019;183,8;;;;;;;;;;;;
31/01/2020;204,8;;;;;;;;;;;;
29/02/2020;150,4;;;;;;;;;;;;
31/03/2020;98,4;;;;;;;;;;;;
30/04/2020;99;;;;;;;;;;;;
31/05/2020;124,6;;;;;;;;;;;;
30/06/2020;92,2;;;;;;;;;;;;
31/07/2020;14,2;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;
30/09/2020;19,4;;;;;;;;;;;;
31/10/2020;184,4;;;;;;;;;;;;
